ID,NAME
0,Республика Адыгея
1,Алтайский край
2,Амурская область
3,Архангельская область
4,Астраханская область
5,Республика Башкортостан
6,Белгородская область
7,Брянская область
8,Республика Бурятия
9,Чеченская Республика
10,Челябинская область
11,Чукотский автономный округ
12,Чувашская Республика
13,г.Санкт-Петербург
14,Республика Дагестан
15,Республика Алтай
16,Республика Ингушетия
17,Иркутская область
18,Ивановская область
19,Кабардино-Балкарская Республика
20,Калининградская область
21,Республика Калмыкия
22,Калужская область
23,Камчатский край
24,Карачаево-Черкесская Республика
25,Республика Карелия
26,Кемеровская область
27,Хабаровский край
28,Республика Хакасия
29,Ханты-Мансийский автономный округ-Югра
30,Кировская область
31,Республика Коми
32,Костромская область
33,Краснодарский край
34,Красноярский край
35,Курганская область
36,Курская область
37,Ленинградская область
38,Липецкая область
39,Магаданская область
40,Республика Марий Эл
41,Республика Мордовия
42,г.Москва
43,Московская область
44,Мурманская область
45,Ненецкий автономный округ
46,Нижегородская область
47,Республика Северная Осетия - Алания
48,Новгородская область
49,Новосибирская область
50,Омская область
51,Орловская область
52,Оренбургская область
53,Пензенская область
54,Пермский край
55,Приморский край
56,Псковская область
57,Ростовская область
58,Рязанская область
59,Сахалинская область
60,Республика Саха (Якутия)
61,Самарская область
62,Саратовская область
63,Смоленская область
64,Ставропольский край
65,Свердловская область
66,Тамбовская область
67,Республика Татарстан
68,Томская область
69,Тульская область
70,Республика Тыва
71,Тверская область
72,Тюменская область
73,Удмуртская Республика
74,Ульяновская область
75,Владимирская область
76,Волгоградская область
77,Вологодская область
78,Воронежская область
79,Ямало-Ненецкий автономный округ
80,Ярославская область
81,Еврейская автономная область
82,Забайкальский край
100,Республика Крым
101,г. Севастополь
